scheme,threshold,repeat,query_id,group,latency_us,matched,best_distance,records_examined,bits_compared
fuzzydedup,4,0,enron_full_149634,verify,241.571,1,0,7701,493056
fuzzydedup,5,0,enron_full_149634,verify,247.924,1,0,8407,538240
fuzzydedup,4,0,enron_full_151578,verify,2397.105,0,5,68018,4353216
fuzzydedup,5,0,enron_full_151578,verify,3202.498,0,6,84314,5396288
fuzzydedup,6,0,enron_full_151578,verify,3809.694,0,7,100525,6433792
fuzzydedup,5,0,enron_full_151693,verify,3365.187,1,0,79913,5114624
fuzzydedup,6,0,enron_full_151693,verify,3922.167,1,0,93261,5968896
fuzzydedup,4,0,enron_full_151693,verify,3436.875,1,0,66091,4230016
fuzzydedup,6,0,enron_full_156900,verify,1619.620,1,0,38824,2484928
fuzzydedup,4,0,enron_full_156900,verify,1403.332,1,0,30739,1967488
fuzzydedup,5,0,enron_full_156900,verify,1588.593,1,0,35341,2262016
fuzzydedup,4,0,enron_full_165292,verify,5291.293,0,5,132999,8511936
fuzzydedup,5,0,enron_full_165292,verify,6541.736,0,6,159592,10213888
fuzzydedup,6,0,enron_full_165292,verify,7715.557,0,7,184939,11836096
fuzzydedup,5,0,enron_full_169439,verify,3430.116,1,0,69228,4431168
fuzzydedup,6,0,enron_full_169439,verify,3618.971,1,0,79910,5114816
fuzzydedup,4,0,enron_full_169439,verify,2990.748,1,0,57421,3675520
fuzzydedup,6,0,enron_full_175838,verify,4998.218,1,0,109172,6987392
fuzzydedup,4,0,enron_full_175838,verify,4181.830,1,0,79281,5074176
fuzzydedup,5,0,enron_full_175838,verify,4450.916,1,0,94789,6066688
fuzzydedup,4,0,enron_full_177787,verify,1955.398,0,5,35794,2290816
fuzzydedup,5,0,enron_full_177787,verify,2011.031,0,6,44800,2867200
fuzzydedup,6,0,enron_full_177787,verify,3011.346,0,7,54205,3469120
fuzzydedup,5,0,enron_full_191361,verify,5853.219,0,6,113036,7234304
fuzzydedup,6,0,enron_full_191361,verify,6289.012,0,7,133357,8534848
fuzzydedup,4,0,enron_full_191361,verify,4146.033,0,5,92244,5903616
fuzzydedup,6,0,enron_full_193990,verify,4544.752,1,0,78232,5007040
fuzzydedup,4,0,enron_full_193990,verify,2784.649,1,0,49323,3156864
fuzzydedup,5,0,enron_full_193990,verify,3065.716,1,0,63520,4065472
fuzzydedup,4,0,enron_full_197612,verify,3858.307,1,0,57789,3699328
fuzzydedup,5,0,enron_full_197612,verify,4082.427,1,0,73050,4676544
fuzzydedup,6,0,enron_full_197612,verify,4253.175,1,0,88811,5686400
fuzzydedup,5,0,enron_full_205154,verify,4474.043,1,0,86652,5545920
fuzzydedup,6,0,enron_full_205154,verify,5185.883,1,0,102185,6540032
fuzzydedup,4,0,enron_full_205154,verify,3857.399,1,0,70680,4523712
fuzzydedup,6,0,enron_full_219980,verify,618.078,1,0,9280,594112
fuzzydedup,4,0,enron_full_219980,verify,215.419,1,0,8015,513152
fuzzydedup,5,0,enron_full_219980,verify,221.349,1,0,8721,558336
fuzzydedup,4,0,enron_full_225533,verify,2408.457,0,5,50202,3212928
fuzzydedup,5,0,enron_full_225533,verify,3115.383,0,6,62674,4011136
fuzzydedup,6,0,enron_full_225533,verify,3228.332,0,7,75416,4826624
fuzzydedup,5,0,enron_full_228596,verify,4263.278,1,0,81916,5242816
fuzzydedup,6,0,enron_full_228596,verify,4483.103,1,0,97424,6235328
fuzzydedup,4,0,enron_full_228596,verify,3437.378,1,0,66383,4248704
fuzzydedup,6,0,enron_full_234345,verify,2826.243,1,0,60106,3846976
fuzzydedup,4,0,enron_full_234345,verify,2175.382,1,0,46454,2973248
fuzzydedup,5,0,enron_full_234345,verify,2328.819,1,0,53884,3448768
fuzzydedup,4,0,enron_full_235969,verify,2739.771,1,0,50188,3212224
fuzzydedup,5,0,enron_full_235969,verify,2810.819,1,0,64385,4120832
fuzzydedup,6,0,enron_full_235969,verify,3970.002,1,0,79097,5062400
fuzzydedup,5,0,enron_full_244329,verify,4072.895,0,6,103384,6616576
fuzzydedup,6,0,enron_full_244329,verify,5391.299,0,7,123332,7893248
fuzzydedup,4,0,enron_full_244329,verify,3539.529,0,5,84127,5384128
fuzzydedup,6,0,enron_full_249167,verify,4383.761,1,0,98049,6275328
fuzzydedup,4,0,enron_full_249167,verify,3133.256,1,0,65919,4219008
fuzzydedup,5,0,enron_full_249167,verify,4089.944,1,0,81830,5237312
fuzzydedup,4,0,enron_full_256248,verify,5210.980,0,5,121972,7806208
fuzzydedup,5,0,enron_full_256248,verify,5888.053,0,6,147636,9448704
fuzzydedup,6,0,enron_full_256248,verify,7073.540,0,7,172289,11026496
fuzzydedup,5,0,enron_full_258106,verify,2924.864,0,6,73355,4694720
fuzzydedup,6,0,enron_full_258106,verify,3504.863,0,7,88518,5665152
fuzzydedup,4,0,enron_full_258106,verify,2384.517,0,5,59159,3786176
fuzzydedup,6,0,enron_full_259410,verify,4626.478,1,0,96468,6174144
fuzzydedup,4,0,enron_full_259410,verify,3396.952,1,0,64089,4101888
fuzzydedup,5,0,enron_full_259410,verify,4255.236,1,0,80496,5151936
fuzzydedup,4,0,enron_full_259826,verify,5238.176,0,5,120641,7721024
fuzzydedup,5,0,enron_full_259826,verify,6246.340,0,6,145606,9318784
fuzzydedup,6,0,enron_full_259826,verify,7457.807,0,7,169255,10832320
fuzzydedup,5,0,enron_full_264620,verify,6694.687,0,6,139663,8938432
fuzzydedup,6,0,enron_full_264620,verify,7179.359,0,7,163334,10453376
fuzzydedup,4,0,enron_full_264620,verify,5170.663,0,5,115506,7392384
fuzzydedup,6,0,enron_full_270173,verify,7042.641,0,7,177736,11385600
fuzzydedup,4,0,enron_full_270173,verify,4925.147,0,5,127462,8158656
fuzzydedup,5,0,enron_full_270173,verify,6443.382,0,6,153267,9812928
fuzzydedup,4,0,enron_full_276316,verify,1357.091,1,0,23936,1532096
fuzzydedup,5,0,enron_full_276316,verify,1325.833,1,0,26884,1720768
fuzzydedup,6,0,enron_full_276316,verify,1362.853,1,0,29273,1873664
fuzzydedup,5,0,enron_full_276664,verify,4165.984,0,6,77432,4955648
fuzzydedup,6,0,enron_full_276664,verify,4377.392,0,7,92448,5916672
fuzzydedup,4,0,enron_full_276664,verify,3257.298,0,5,62545,4002880
fuzzydedup,6,0,enron_full_291334,verify,1589.646,1,0,28339,1813888
fuzzydedup,4,0,enron_full_291334,verify,1194.407,1,0,17199,1100928
fuzzydedup,5,0,enron_full_291334,verify,1266.168,1,0,22259,1424768
fuzzydedup,4,0,enron_full_294917,verify,2023.913,1,0,37906,2426176
fuzzydedup,5,0,enron_full_294917,verify,2024.678,1,0,43554,2787648
fuzzydedup,6,0,enron_full_294917,verify,2039.702,1,0,48156,3082176
fuzzydedup,5,0,enron_full_296374,verify,7257.745,0,6,154598,9894272
fuzzydedup,6,0,enron_full_296374,verify,7794.068,0,7,180015,11520960
fuzzydedup,4,0,enron_full_296374,verify,5966.522,0,5,128135,8200640
fuzzydedup,6,0,enron_full_297469,verify,1201.777,1,3,20871,1335936
fuzzydedup,4,0,enron_full_297469,verify,775.135,1,3,8017,513280
fuzzydedup,5,0,enron_full_297469,verify,948.808,1,3,14097,902400
fuzzydedup,4,0,enron_full_311295,verify,3519.933,1,0,71748,4592064
fuzzydedup,5,0,enron_full_311295,verify,4346.666,1,0,88155,5642112
fuzzydedup,6,0,enron_full_311295,verify,4616.519,1,0,104127,6664320
fuzzydedup,5,0,enron_full_312256,verify,2965.796,1,0,56020,3585472
fuzzydedup,6,0,enron_full_312256,verify,2674.950,1,0,62242,3983680
fuzzydedup,4,0,enron_full_312256,verify,2151.615,1,0,48590,3109952
fuzzydedup,6,0,enron_full_314206,verify,3155.698,1,0,68261,4368896
fuzzydedup,4,0,enron_full_314206,verify,2464.524,1,0,43238,2767424
fuzzydedup,5,0,enron_full_314206,verify,2467.062,1,0,54932,3515840
fuzzydedup,4,0,enron_full_321374,verify,3446.454,1,0,64292,4114880
fuzzydedup,5,0,enron_full_321374,verify,3701.546,1,0,80053,5123584
fuzzydedup,6,0,enron_full_321374,verify,4248.081,1,0,95964,6141888
fuzzydedup,5,0,enron_full_321667,verify,3385.138,1,0,78041,4994816
fuzzydedup,6,0,enron_full_321667,verify,3584.016,1,0,88723,5678464
fuzzydedup,4,0,enron_full_321667,verify,2986.917,1,0,66234,4239168
fuzzydedup,6,0,enron_full_339439,verify,7184.214,0,7,194644,12457216
fuzzydedup,4,0,enron_full_339439,verify,5481.879,0,5,139516,8929024
fuzzydedup,5,0,enron_full_339439,verify,6279.712,0,6,168125,10760000
fuzzydedup,4,0,enron_full_344327,verify,4707.882,0,5,120641,7721024
fuzzydedup,5,0,enron_full_344327,verify,5205.264,0,6,145606,9318784
fuzzydedup,6,0,enron_full_344327,verify,7249.800,0,7,169255,10832448
fuzzydedup,5,0,enron_full_356679,verify,3598.498,0,6,84314,5396096
fuzzydedup,6,0,enron_full_356679,verify,3836.561,0,7,100525,6433600
fuzzydedup,4,0,enron_full_356679,verify,2845.754,0,5,68018,4353152
fuzzydedup,6,0,enron_full_378588,verify,4887.385,1,0,84828,5429184
fuzzydedup,4,0,enron_full_378588,verify,3344.037,1,0,64560,4132032
fuzzydedup,5,0,enron_full_378588,verify,3161.144,1,0,75242,4815680
fuzzydedup,4,0,enron_full_382866,verify,871.184,1,0,14649,937728
fuzzydedup,5,0,enron_full_382866,verify,1000.776,1,0,18845,1206272
fuzzydedup,6,0,enron_full_382866,verify,1783.815,1,0,24081,1541376
fuzzydedup,5,0,enron_full_386568,verify,8075.471,0,6,122217,7821888
fuzzydedup,6,0,enron_full_386568,verify,7040.646,0,7,144058,9219712
fuzzydedup,4,0,enron_full_386568,verify,6039.682,0,5,100182,6411648
fuzzydedup,6,0,enron_full_390022,verify,1730.869,0,7,34498,2207872
fuzzydedup,4,0,enron_full_390022,verify,1623.095,0,5,22576,1444864
fuzzydedup,5,0,enron_full_390022,verify,1342.034,0,6,28110,1799040
fuzzydedup,4,0,enron_full_391907,verify,1985.295,1,0,32206,2061376
fuzzydedup,5,0,enron_full_391907,verify,1753.108,1,0,37854,2422848
